欵,款
歀,款
謌,歌
嘔,歐
欧,歐
噏,歙
欤,歟
欢,歡
歓,歡
懽,歡
孉,歡
疋,正
歨,步
歩,步
嵗,歲
歳,歲
亗,歲
历,歷
厯,歷
歴,歷
帰,歸
归,歸
歺,歹
殁,歿
歾,歿
圽,歿
残,殘
殡,殯
叚,段
煞,殺
壳,殼
殻,殼
毁,毀
敺,毆
殴,毆
毎,每
夶,比
芘,比
毘,毗
艮,民
互,氐
炁,氣
气,氣
氲,氳
汜,氾
污,汙
汖,池
澒,汞
銾,汞
砂,沙
沉,沈
沈,沉
决,決
汏,汰
汱,汰
溙,汰
冲,沖
没,沒
汔,汽
沲,沱
埿,泥
沬,沫
佱,法
灋,法
洩,泄
况,況
湭,泅
汓,泅
冶,治
滼,泛
洦,泊
湐,泊
淿,泊
湶,泉
洤,泉
灥,泉
夳,泰
冭,泰
潂,洪
汖,流
冽,洌
峝,洞
洒,洗
冼,洗
冾,洽
沠,派
汹,洶
洜,洛
洟,涕
洷,涇
濅,浸
寖,浸
淛,浙
渉,涉
泘,浮
酻,浮
还,浮
澔,浩
凉,涼
湻,淳
洂,液
沗,添
浅,淺
淸,清
凊,清
漄,涯
厓,涯
沍,涸
囦,淵
渊,淵
渁,淵
渆,淵
灁,淵
凄,淒
泪,淚
涙,淚
滛,淫
准,淮
瀞,淨
浄,淨
净,淨
凈,淨
汬,淨
湽,淄
涌,湧
凑,湊
减,減
郣,渤
洇,湮
涹,渦
漡,湯
渇,渴
漑,溉
遡,溯
溸,溯
泝,溯
霶,滂
雱,滂
汸,滂
沗,滂
厡,源
沟,溝
烕,滅
濕,溼
氼,溺
温,溫
昷,溫
凖,準
准,準
澑,溜
谿,溪
滚,滾
渧,滴
滳,滴
瀁,漾
洓,漬
屚,漏
満,滿
柒,漆
桼,漆
溙,漆
潄,漱
涑,漱
涱,漲
澷,漫
澫,漫
濕,漯
沪,滬
涁,滲
渗,滲
澂,澄
瀓,澄
洯,潔
洁,潔
潜,潛
濳,潛
澘,潸
潹,潺
礀,澗
濓,濂
淀,澱
沢,澤
泞,濘
浜,濱
濵,濱
滨,濱
済,濟
溕,濛
靀,濛
涛,濤
涭,濤
歮,澀
歰,澀
澁,澀
渋,澀
濇,澀
渪,濡
沈,瀋
凟,瀆
嚠,瀏
瀬,瀨
漣,瀾
潅,灌
洒,灑
滩,灘
湾,灣
滦,灤
灬,火
竈,灶
烵,灼
灾,災
烖,災
炏,炎
煼,炒
焣,炒
熫,炙
爲,為
昞,炳
昺,炳
烱,炯
炰,炮
缹,炮
灴,烘
烮,烈
煭,烈
亯,烹
亨,烹
熯,焊
熢,烽
炐,烽
焷,焙
燓,焚
燌,焚
炃,焚
燔,焚
爑,焦
燄,焰
爓,焰
焱,焰
无,無
橆,無
嘫,然
戁,然
煑,煮
烟,煙
鍊,煉
燳,照
瞾,照
炤,照
曌,照
朤,照
焴,煜
烊,煬
昫,煦
烉,煥
奐,煥
熈,熙
焈,熙
傓,煽
尉,熨
叞,熨
粦,燐
灯,燈
鷰,燕
暿,熹
熺,熹
尞,燎
爒,燎
然,燃
焰,燄
煫,燧
営,營
爕,燮
煰,燥
爥,燭
曯,燭
烛,燭
煿,爆
炉,爐
爤,爛
燗,爛
熶,爨
爫,爪
争,爭
耶,爺
尒,爾
尔,爾
墻,牆
廧,牆
牗,牖
窂,牢
觝,牴
犆,特
撁,牽
犂,犁
屖,犀
牦,犛
氂,犛
牺,犧
犮,犬
犾,狄
狅,狂
状,狀
狭,狹
陜,狹
貍,狸
獧,狷
勐,猛
犹,猶
狌,猩
猨,猿
蝯,猿
麞,獐
奨,獎
奬,獎
独,獨
擭,獲
获,獲
猎,獵
獦,獵
献,獻
卛,率
壬,王
王,玉
貦,玩
瑴,玨
珏,玨
珉,玟
琘,玟
瑉,玟
砇,玟
碈,玟
琝,玟
珳,玟
玟,玫
珻,玫
珎,珍
鉁,珍
錱,珍
砶,珀
瑇,玳
瑠,琉
璢,琉
瑘,琊
珐,琺
玪,琳
珡,琴
琹,琴
蝐,瑁
珼,瑁
碯,瑙
瑶,瑤
碼,瑪
璝,瑰
瓌,瑰
瓈,璃
璖,璩
环,環
壐,璽
玺,璽
鈢,璽
鉨,璽
鉩,璽
琼,瓊
璚,瓊
瓗,瓊
爪,瓜
甁,瓶
硑,瓶
珁,瓷
甆,瓷
瓯,甌
罋,甕
瓮,甕
什,甚
恋,甚
甛,甜
産,產
娚,甥
桶,甬
甮,甭
鉀,甲
侽,男
堺,界
畍,界
畞,畝
畮,畝
畂,畝
畆,畝
奙,畚
畄,留
畱,留
畧,略
魓,畢
鏎,畢
异,異
画,畫
畵,畫
晝,畫
畨,番
当,當
嚋,疇
壃,疆
畺,疆
疅,疆
畕,疆
叠,疊
曡,疊
疉,疊
疎,疏
踈,疏
痋,疼
胗,疹
脴,痞
瘷,瘀
疩,瘁
痳,痲
疿,痱
癡,痴
痬,瘍
痒,瘍
癒,瘉
胔,瘠
癅,瘤
膄,瘦
瘉,癒
痒,癢
症,癥
彂,發
佰,百
旳,的
晈,皎
皦,皎
賋,皎
晥,皖
晧,皓
皜,皓
凒,皚
暟,皚
疱,皰
靤,皰
盁,盈
瓫,盆
盇,盍
盗,盜
尽,盡
譼,監
鎜,盤
泴,盥
盳,盲
朚,盲
睂,眉
屓,眉
盻,盼
眞,真
瞑,眠
睠,眷
众,眾
衆,眾
乑,眾
困,睏
睾,睪
倸,睬
睁,睜
睤,睥
叡,睿
憆,瞠
覴,瞪
矙,瞰
瞚,瞬
瞤,瞬
了,瞭
眗,瞿
瞩,矚
鉾,矛
矝,矜
笶,矢
榘,矩
躷,矮
矨,矮
硏,研
硑,研
矵,砌
磜,砌
硑,砰
碪,砧
磂,硫
朱,硃
鞕,硬
硏,硯
砕,碎
踫,碰
埦,碗
椀,碗
盌,碗
鋺,碗
礠,磁
楪,碟
磞,磅
碻,確
硈,確
磥,磊
礌,磊
礚,磕
甎,磚
声,磬
殸,磬
硜,磬
隥,磴
硋,礙
碍,礙
鋛,礦
鑛,礦
卝,礦
丱,礦
眎,示
禩,祀
祅,祆
祗,祇
秘,祕
袐,祕
袓,祖
柛,神
拀,祝
祬,祗
祇,祗
袛,祗
秨,祚
羏,祥
禥,祺
禄,祿
畗,福
旤,禍
礼,禮
豊,禮
祷,禱
万,萬
和,私
厶,私
秃,禿
秂,禿
痜,禿
龝,秋
豑,秩
秆,稈
芉,稈
税,稅
楞,稜
稺,稚
穉,稚
禂,稠
禀,稟
种,種
称,稱
穪,稱
秤,稱
稾,稿
藁,稿
藳,稿
稁,稿
榖,穀
谷,穀
糓,穀
禝,稷
稲,稻
頴,穎
甦,穌
鯂,穌
穂,穗
穯,穡
劐,穫
耯,穫
穏,穩
宂,穴
宄,究
宆,穹
宊,突
穾,突
宨,窕
牎,窗
牕,窗
窓,窗
窻,窗
囪,窗
囱,窗
堀,窟
窋,窟
洼,窪
窊,窪
漥,窪
窑,窯
窰,窯
竆,窮
闚,窺
窃,竊
竸,競
兢,競
笁,竺
关,笑
咲,笑
体,笨
篴,笛
苐,第
苻,符
抬,笞
筞,策
箣,策
筴,策
萗,策
笔,筆
茟,筆
匡,筐
荅,答
畣,答
畗,答
譗,答
笋,筍
箰,筍
觔,筋
竻,筋
栰,筏
菅,管
筦,管
萁,箕
椾,箋
牋,箋
筭,算
翦,箭
葙,箱
范,範
蒃,篆
籇,篙
竺,篤
笁,篤
簒,篡
竼,篷
簘,簫
兂,簪
簮,簪
籄,簣
蕑,簡
帘,簾
薄,簿
檐,簷
筹,籌
籘,籐
篭,籠
籖,籤
揃,籤
簽,籤
龥,籲
吁,籲
觕,粗
麤,粗
麆,粗
秔,粳
稉,粳
粤,粵
粋,粹
糉,粽
餻,糕
餹,糖
饄,糖
糛,糖
餳,糖
穅,糠
粇,糠
醩,糟
粮,糧
稬,糯
糥,糯
穤,糯
幺,糸
糺,糾
紏,糾
靵,紐
粃,紕
帋,紙
靽,絆
綂,統
紥,紮
綤,紹
佋,紹
綍,紼
黜,絀
叅,累
絫,累
厽,累
夂,終
紒,結
絶,絕
撧,絕
絁,絕
糸,絲
坕,經
経,經
裍,綑
袒,綻
繛,綽
緑,綠
网,網
罔,網
緜,綿
緖,緒
繢,緇
縁,緣
綫,線
絤,線
縀,緞
纝,縲
絫,縲
綳,繃
綘,縫
総,總
惣,總
緫,總
縂,總
揔,總
揌,總
捴,總
摠,總
縦,縱
縿,繅
繰,繅
綕,織
遶,繞
綉,繡
繍,繡
縘,繫
系,繫
絸,繭
蠒,繭
縄,繩
絵,繪
継,繼
緾,纏
纒,纏
賡,續
纎,纖
缻,缶
罁,缸
堈,缸
盋,缽
鉢,缽
墰,罈
罎,罈
壜,罈
墵,罈
埮,罈
鑵,罐
罆,罐
缶,罐
冈,罔
籱,罩
箌,罩
辠,罪
罸,罰
駡,罵
嗎,罵
傌,罵
罢,罷
羇,羈
覉,羈
覊,羈
芉,羊
猐,羌
羗,羌
哶,羋
咩,羋
芉,羋
咪,羋
嘪,羋
吀,羋
羙,美
嬍,美
羙,羔
麢,羚
譱,善
义,義
羛,義
乂,義
羡,羨
羣,群
羴,羶
膻,羶
羮,羹
翄,翅
翨,翅
翤,翅
鴹,翔
翖,翕
翆,翠
鶣,翩
翺,翱
翶,翱
飜,翻
拚,翻
朤,耀
攷,考
丂,考
耏,耐
秐,耘
畊,耕
躭,耽
炛,耿
垩,聖
圣,聖
琞,聖
鄹,聚
声,聲
殸,聲
聦,聰
聡,聰
聪,聰
聮,聯
聫,聯
聨,聯
耸,聳
聀,職
軄,職
聴,聽
聼,聽
听,聽
銉,肆
粛,肅
肁,肇
肈,肇
宍,肉
毓,育
袬,育
胑,肢
厷,肱
餚,肴
肎,肯
眫,胖
妚,胚
肧,胚
衃,胚
冐,胄
伷,胄
囼,胎
孡,胎
脇,脅
臙,胭
脃,脆
膬,脆
匈,胸
胷,胸
脉,脈
衇,脈
唇,脣
脱,脫
挩,脫
捥,腕
羫,腔
痮,脹
瘬,脹
焤,腐
膓,腸
顋,腮
脚,腳
踋,腳
匘,腦
髈,膀
蹆,腿
骽,腿
厀,膝
肤,膚
饍,膳
胒,膩
臋,臀
癑,膿
胆,膽
鱠,膾
臈,臘
腊,臘
卧,臥
匨,臧
瀶,臨
臰,臭
殠,臭
坮,臺
台,臺
旧,臼
抭,舀
抌,舀
摏,舂
旧,舅
与,與
擧,舉
挙,舉
旧,舊
舎,舍
舓,舐
狧,舐
咶,舐
忬,舒
踳,舛
僢,舛
儛,舞
丹,舟
斻,航
柁,舵
艊,舶
