A00556,正,2,和,
A00556-001,,1,咊,
A00556-002,,,惒,
A00557,正,,咚,
A00558,正,,呢,
A00559,正,,周,
A00559-007,,1,週,
A00560,正,,咋,
A00560-002,,1,唶,
A00561,正,,命,
A00562,正,,咎,
A00563,正,,咬,
A00563-003,,,齩,
A00563-009,,1,嚙,
A00564,正,,哀,
A00565,正,,咨,
A00565-004,,1,諮,
A00566,正,,哎,
A00567,正,,哉,
A00568,正,2,咸,
A00569,正,,咦,
A00570,正,,咳,
A00570-002,,1,欬,
A00570-004,,1,孩,
A00571,正,,哇,
A00572,正,2,哂,
A00572-003,,2,吲,
A00572-004,,1,弞,
A00573,正,2,咽,
A00574,正,2,咪,
A00575,正,,品,
A00576,正,,哄,
A00577,正,,哈,
A00578,正,,咯,
A00579,正,,咫,
A00580,正,,咱,
A00581,正,2,咻,
A00582,正,,哨,
A00583,正,,唐,
A00583-002,,,啺,
A00583-005,,,鄌,
A00584,正,,唁,
A00584-003,,1,喭,
A00584-006,,1,囐,
A00585,正,2,唷,
A00585-001,,1,哊,
A00586,正,,哼,
A00587,正,,哥,
A00588,正,,哲,
A00588-001,,,啠,
A00588-002,,,喆,
A00588-004,,,嚞,
A00588-005,,,埑,
A00589,正,,唆,
A00590,正,,哺,
A00591,正,,唔,
A00592,正,,哩,
A00593,正,,哭,
A00594,正,,員,
A00594-001,,,貟,
A00595,正,,唉,
A00596,正,,哮,
A00596-004,,1,嘋,
A00597,正,,哪,
A00598,正,,哦,
A00599,正,,唧,
A00599-001,,,喞,
A00599-006,,1,吇,
A00600,正,,商,
A00600-048,,1,謪,
A00601,正,,啪,
A00602,正,,啦,
A00603,正,,啄,
A00604,正,,啞,
A00604-001,,,唖,
A00604-002,,,瘂,
A00605,正,2,啡,
A00606,正,,啃,
A00607,正,,啊,
A00608,正,,唱,
A00608-001,,,誯,
A00609,正,,啖,
A00609-001,,1,餤,
A00609-003,,1,噉,
A00609-004,,1,嚪,
A00609-005,,1,啗,
A00610,正,,問,
A00611,正,,啕,
A00612,正,,唯,
A00613,正,,啤,
A00614,正,,唸,
A00615,正,,售,
A00616,正,,啜,
A00616-001,,,涰,
A00616-002,,,諁,
A00616-005,,1,嚽,
A00617,正,,唬,
A00618,正,2,啣,
A00619,正,,唳,
A00620,正,,啻,
A00621,正,,喀,
A00621-001,,,衉,
A00622,正,,喧,
A00622-002,,2,吅,
A00623,正,,啼,
A00623-002,,,嗁,
A00623-009,,1,謕,
A00623-012,,1,渧,
A00624,正,,喊,
A00624-001,,1,嚂,
A00625,正,,喝,
A00626,正,,喘,
A00626-002,,1,歂,
A00627,正,,喂,
A00628,正,,喜,
A00628-002,,1,憙,
A00628-004,,1,歖,
A00628-008,,1,憘,
A00629,正,,喪,
A00630,正,,喔,
A00631,正,,喇,
A00632,正,,喋,
A00633,正,,喃,
A00633-003,,1,諵,
A00633-004,,2,娚,
A00634,正,,喳,
A00635,正,,單,
A00635-001,,,单,
A00635-003,,,単,
A00636,正,,喟,
A00636-001,,1,嘳,
A00636-008,,1,欳,
A00637,正,,唾,
A00637-002,,1,涶,
A00638,正,,喲,
A00639,正,,喚,
A00639-003,,1,嚾,
A00639-027-1,,1,喛,
A00640,正,2,喻,
A00640-001,,1,喩,
A00641,正,,喬,
A00641-005,,1,乔,
A00642,正,,喱,
A00643,正,,啾,
